,user_id,group_id,creation_time
9,3133,96,1719923651
10,3132,96,1719923688
11,3135,97,1719923969
12,3134,97,1719924104
14,3128,99,1719929352
15,3131,99,1719929407
17,3126,101,1719922197
18,3122,101,1719923493
33,3130,104,1719929574
34,3141,104,1719929609
36,3148,105,1720537237
38,3112,106,1719496374
40,3151,107,1720595211
41,3150,107,1720595252
43,3145,108,1720595487
44,3144,109,1720595541
45,3147,109,1720595588
46,3146,109,1720595627
47,3157,109,1720595909
55,3145,110,1720595487
85,3193,112,1722872020
86,3195,112,1723120789
87,3194,112,1723120931
165,4092,109,1724000298
167,3130,113,1719929574
168,3141,113,1719929609
192,4088,116,1724057024
193,4090,109,1724057682
222,3871,118,1724067652
223,3870,119,1724067710
224,3865,119,1724067740
225,3864,119,1724067762
226,3864,121,1724067762
227,3865,121,1724067740
228,3870,121,1724067710
229,3877,119,1724078816
233,3875,109,1724226684
234,3874,109,1724226856
235,3885,109,1724226945
245,2241,124,1692965561
257,3909,125,1724398195
258,3908,126,1724398226
259,3911,126,1724398251
260,3905,127,1724398321
261,3904,125,1724400265
307,3959,129,1724756496
308,3958,129,1724756691
344,3123,130,1719923331
350,3910,127,1724398295
382,3597,131,1726131542
383,3596,131,1726131590
401,409,132,1726557710
402,408,132,1726557803
403,411,133,1726560900
404,410,133,1726561446
405,421,134,1726561552
406,420,134,1726561611
471,410,136,1726561446
472,411,136,1726560900
473,410,137,1726561446
474,411,137,1726560900
476,483,138,1727099802
507,497,139,1727260381
508,496,140,1727260411
509,499,140,1727260438
510,498,141,1727260476
511,509,141,1727260510
512,509,142,1727260510
513,498,142,1727260476
514,499,143,1727260438
515,496,143,1727260411
580,313,140,1727879553
581,313,143,1727879553
582,3129,97,1719924496
609,3872,109,1724226594
639,458,151,1726592570
641,469,152,1726592723
758,468,150,1726592801
759,0,149,1729175871
760,3,148,1729175944
761,2,147,1729176000
762,12,146,1729176144
763,15,145,1729176207
764,14,144,1729176340
781,28,153,1730559984
831,469,151,1726592723
832,469,150,1726592723
